Season,Team,AvAge,GP,W,L,OL,PTS,PTS_Pct,GF,GA,SOW,SOL,SRS,SOS,GF_per_G,GA_per_G,PP,PPO,PP_Pct,PPA,PPOA,PK_Pct,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV_Pct,SO
2020-2021,Vegas Golden Knights*,29.2,56,40,14,2,82,0.732,190,122,1,2,1.05,-0.15,3.39,2.18,31,174,17.82,19,144,86.81,4,2,7.3,7.9,1829,10.4,1527,0.92,7
2020-2021,Colorado Avalanche*,27.1,56,39,13,4,82,0.732,197,132,0,1,1,-0.14,3.52,2.36,47,207,22.71,30,177,83.05,1,3,8.9,10.4,1937,10.2,1423,0.907,8
2020-2021,Carolina Hurricanes*,27.1,56,36,12,8,80,0.714,175,134,4,2,0.67,-0.1,3.13,2.39,42,164,25.61,26,176,85.23,7,6,7.4,7,1794,9.8,1581,0.915,6
2020-2021,Florida Panthers*,28.1,56,37,14,5,79,0.705,188,151,1,2,0.56,-0.08,3.36,2.7,39,190,20.53,34,168,79.76,4,4,10.1,10.8,1954,9.6,1682,0.91,3
2020-2021,Washington Capitals*,30.6,56,36,15,5,77,0.688,188,161,3,2,0.44,-0.06,3.36,2.88,38,153,24.84,26,162,83.95,2,8,9.4,9.2,1647,11.4,1612,0.9,4
2020-2021,Toronto Maple Leafs*,29,56,35,14,7,77,0.688,186,148,1,0,0.6,-0.1,3.32,2.64,31,155,20,31,144,78.47,3,7,7,7.4,1751,10.6,1558,0.905,3
2020-2021,Pittsburgh Penguins*,28.4,56,37,16,3,77,0.688,193,155,3,1,0.62,-0.09,3.45,2.77,36,152,23.68,35,155,77.42,6,4,7.1,7.1,1684,11.5,1679,0.908,5
2020-2021,Tampa Bay Lightning*,28.4,56,36,17,3,75,0.67,180,145,1,2,0.53,-0.08,3.21,2.59,40,180,22.22,29,183,84.15,3,3,10.7,10.9,1692,10.6,1583,0.908,6
2020-2021,Minnesota Wild*,29.3,56,35,16,5,75,0.67,180,159,1,1,0.33,-0.05,3.21,2.84,29,165,17.58,31,161,80.75,2,3,8.9,8.9,1585,11.4,1705,0.907,4
2020-2021,Boston Bruins*,28.7,56,33,16,7,73,0.652,164,134,4,2,0.5,-0.07,2.93,2.39,35,160,21.88,25,178,85.96,9,6,9.5,8.9,1866,8.8,1516,0.912,6
2020-2021,Edmonton Oilers*,28.7,56,35,19,2,72,0.643,183,154,0,0,0.44,-0.08,3.27,2.75,48,174,27.59,27,154,82.47,2,4,7.8,8.3,1674,10.9,1717,0.91,3
2020-2021,New York Islanders*,29.2,56,32,17,7,71,0.634,152,125,4,3,0.44,-0.06,2.71,2.23,27,144,18.75,22,135,83.7,4,0,6.6,6.8,1623,9.4,1590,0.921,10
2020-2021,Nashville Predators*,28.5,56,31,23,2,64,0.571,151,154,5,0,0.03,0,2.7,2.75,28,159,17.61,42,172,75.58,6,2,9.2,7.9,1679,9,1753,0.912,5
2020-2021,St. Louis Blues*,28.6,56,27,20,9,63,0.563,167,167,2,3,-0.02,0,2.98,2.98,36,155,23.23,38,171,77.78,6,1,8.1,7.5,1622,10.3,1670,0.9,1
2020-2021,Winnipeg Jets*,28.3,56,30,23,3,63,0.563,170,152,0,2,0.25,-0.04,3.04,2.71,37,161,22.98,29,149,80.54,3,3,7.2,7.9,1661,10.2,1713,0.911,5
2020-2021,Dallas Stars,28.5,56,23,19,14,60,0.536,156,148,2,6,0.06,-0.01,2.79,2.64,37,157,23.57,32,153,79.08,3,4,7.3,7.7,1699,9.2,1518,0.903,4
2020-2021,New York Rangers,25.8,56,27,23,6,60,0.536,176,155,1,2,0.31,-0.05,3.14,2.77,37,179,20.67,30,169,82.25,8,4,10.1,11,1607,11,1664,0.907,5
2020-2021,Montreal Canadiens*,28.9,56,24,21,11,59,0.527,158,165,1,3,-0.14,0.02,2.82,2.95,29,151,19.21,37,172,78.49,9,2,8.3,7.5,1746,9,1579,0.896,1
2020-2021,Philadelphia Flyers,27.8,56,25,23,8,58,0.518,160,197,3,4,-0.59,0.08,2.86,3.52,32,167,19.16,45,167,73.05,1,6,8,7.6,1692,9.5,1636,0.88,3
2020-2021,Chicago Blackhawks,27,56,24,25,7,55,0.491,159,184,2,2,-0.39,0.06,2.84,3.29,38,175,21.71,35,151,76.82,3,7,6.6,7.7,1635,9.7,1888,0.903,4
2020-2021,Calgary Flames,28.6,56,26,27,3,55,0.491,155,160,1,1,-0.08,0.01,2.77,2.86,32,175,18.29,34,172,80.23,2,7,8,8.4,1689,9.2,1577,0.899,4
2020-2021,Arizona Coyotes,28.3,56,24,26,6,54,0.482,150,174,3,2,-0.36,0.05,2.68,3.11,37,178,20.79,32,167,80.84,2,4,8,8.5,1538,9.8,1706,0.898,4
2020-2021,Ottawa Senators,26.1,56,23,28,5,51,0.455,155,189,2,1,-0.51,0.08,2.77,3.38,27,174,15.52,36,171,78.95,7,5,9.1,9.5,1663,9.3,1799,0.895,2
2020-2021,Vancouver Canucks,27.7,56,23,29,4,50,0.446,148,187,3,1,-0.56,0.1,2.64,3.34,27,155,17.42,37,183,79.78,6,4,9.8,8.2,1629,9.1,1870,0.9,1
2020-2021,Los Angeles Kings,27.5,56,21,28,7,49,0.438,142,169,1,1,-0.42,0.06,2.54,3.02,32,169,18.93,26,159,83.65,3,3,7.1,8,1587,8.9,1746,0.903,2
2020-2021,San Jose Sharks,29,56,21,28,7,49,0.438,146,196,5,3,-0.75,0.11,2.61,3.5,22,156,14.1,36,184,80.43,5,4,9.2,7.8,1682,8.7,1791,0.891,2
2020-2021,Detroit Red Wings,29.3,56,19,27,10,48,0.429,125,168,2,3,-0.69,0.1,2.23,3,17,149,11.41,33,155,78.71,0,4,7.3,7.2,1528,8.2,1786,0.906,2
2020-2021,Columbus Blue Jackets,27.1,56,18,26,12,48,0.429,134,184,3,3,-0.78,0.11,2.39,3.29,18,117,15.38,28,133,78.95,6,2,7,6.4,1625,8.2,1815,0.899,2
2020-2021,New Jersey Devils,25.9,56,19,30,7,45,0.402,145,189,0,5,-0.77,0.11,2.59,3.38,22,155,14.19,43,148,70.95,3,5,6.7,6.8,1612,9,1737,0.891,3
2020-2021,Anaheim Ducks,28.2,56,17,30,9,43,0.384,124,177,2,2,-0.83,0.12,2.21,3.16,11,123,8.94,33,164,79.88,2,5,8.9,7.3,1500,8.3,1712,0.897,4
2020-2021,Buffalo Sabres,26.9,56,15,34,7,37,0.33,134,196,4,3,-0.95,0.14,2.39,3.5,30,143,20.98,31,139,77.7,5,5,6.1,6,1592,8.4,1889,0.896,0
2019-2020,Boston Bruins*,29.1,70,44,14,12,100,0.714,227,167,0,7,0.74,-0.02,3.24,2.39,57,226,25.22,34,215,84.19,5,7,9.7,10.5,2247,10.1,2103,0.921,8
2019-2020,St. Louis Blues*,28.4,71,42,19,10,94,0.662,223,190,2,3,0.47,0.02,3.14,2.68,49,202,24.26,42,203,79.31,5,6,7.2,7.4,2179,10.2,2100,0.91,5
2019-2020,Tampa Bay Lightning*,27.7,70,43,21,6,92,0.657,243,194,2,1,0.71,0,3.47,2.77,49,211,23.22,43,231,81.39,6,7,10.3,9.9,2176,11.2,2165,0.91,4
2019-2020,Colorado Avalanche*,26.8,70,42,20,8,92,0.657,236,190,1,1,0.64,-0.02,3.37,2.71,46,241,19.09,39,210,81.43,8,6,8.5,10,2257,10.5,2193,0.913,4
2019-2020,Washington Capitals*,29,69,41,20,8,90,0.652,236,212,4,3,0.41,0.04,3.42,3.07,42,216,19.44,42,241,82.57,6,9,10.1,9.5,2206,10.7,2084,0.898,1
2019-2020,Philadelphia Flyers*,27.2,69,41,21,7,89,0.645,227,191,5,5,0.52,0,3.29,2.77,47,226,20.8,38,209,81.82,8,6,7.6,9,2166,10.5,1977,0.903,3
2019-2020,Vegas Golden Knights*,29.2,71,39,24,8,86,0.606,224,209,3,2,0.21,-0.02,3.15,2.94,42,191,21.99,50,214,76.64,9,3,8,7.3,2450,9.1,2082,0.9,6
2019-2020,Pittsburgh Penguins*,27.7,69,40,23,6,86,0.623,221,196,3,0,0.39,-0.02,3.2,2.84,42,211,19.91,34,190,82.11,6,5,7.5,8.2,2204,10,2051,0.904,4
2019-2020,Edmonton Oilers*,28,71,37,25,9,83,0.585,223,215,2,2,0.09,-0.02,3.14,3.03,59,200,29.5,31,199,84.42,3,10,8.1,7.6,2100,10.6,2274,0.905,2
2019-2020,Dallas Stars*,29.4,69,37,24,8,82,0.594,178,174,2,3,0.09,0.05,2.58,2.52,42,199,21.11,44,217,79.72,5,4,8.2,7.4,2113,8.4,2177,0.92,2
2019-2020,Carolina Hurricanes*,26.7,68,38,25,5,81,0.596,217,193,5,0,0.41,-0.02,3.19,2.84,46,206,22.33,39,243,83.95,10,4,8.6,8.4,2261,9.6,1994,0.903,6
2019-2020,Columbus Blue Jackets*,26.2,70,33,22,15,81,0.579,180,183,0,4,-0.12,-0.02,2.57,2.61,31,189,16.4,31,169,81.66,3,5,6.5,6.6,2272,7.9,2092,0.913,7
2019-2020,Toronto Maple Leafs*,26.8,70,36,25,9,81,0.579,237,222,1,5,0.15,-0.01,3.39,3.17,45,195,23.08,43,193,77.72,5,7,6.7,6.7,2302,10.3,2233,0.901,4
2019-2020,New York Islanders*,28.8,68,35,23,10,80,0.588,189,190,3,3,0.01,0.02,2.78,2.79,29,168,17.26,34,176,80.68,6,5,8.5,7.8,2016,9.4,2123,0.911,3
2019-2020,Winnipeg Jets*,26.5,71,37,28,6,80,0.563,213,201,3,2,0.17,-0.01,3,2.83,42,205,20.49,39,174,77.59,6,3,7.4,8.6,2222,9.6,2315,0.913,6
2019-2020,Calgary Flames*,27.7,70,36,27,7,79,0.564,204,214,6,1,-0.08,-0.01,2.91,3.06,41,193,21.24,35,196,82.14,6,9,8.8,8.5,2212,9.2,2271,0.906,4
2019-2020,New York Rangers*,26.2,70,37,28,5,79,0.564,233,220,1,2,0.15,-0.03,3.33,3.14,52,227,22.91,52,230,77.39,8,6,11.2,10.2,2175,10.7,2381,0.908,3
2019-2020,Nashville Predators*,29.1,69,35,26,8,78,0.565,212,214,3,3,-0.03,-0.01,3.07,3.1,39,226,17.26,51,213,76.06,6,8,9,9.5,2287,9.3,2157,0.901,7
2019-2020,Vancouver Canucks*,27.5,69,36,27,6,78,0.565,224,214,4,3,0.13,-0.03,3.25,3.1,57,236,24.15,42,215,80.47,5,4,9.3,9.5,2153,10.4,2297,0.907,2
2019-2020,Florida Panthers*,28.2,69,35,26,8,78,0.565,228,224,3,4,0.05,0.01,3.3,3.25,45,211,21.33,40,186,78.49,4,5,7.2,8.6,2253,10.1,2227,0.899,2
2019-2020,Minnesota Wild*,29.4,69,35,27,7,77,0.558,218,217,2,3,0.01,0.01,3.16,3.14,46,216,21.3,47,206,77.18,3,6,8.1,8.5,2077,10.5,2115,0.897,6
2019-2020,Arizona Coyotes*,28.2,70,33,29,8,74,0.529,190,183,5,4,0.11,0,2.71,2.61,41,214,19.16,34,197,82.74,5,5,6.5,7.4,2220,8.6,2270,0.919,4
2019-2020,Chicago Blackhawks*,28.1,70,32,30,8,72,0.514,208,214,4,4,-0.05,0.04,2.97,3.06,33,217,15.21,37,207,82.13,6,8,7.8,8.2,2227,9.3,2458,0.913,1
2019-2020,Montreal Canadiens*,28.4,71,31,31,9,71,0.5,208,220,4,1,-0.12,0.01,2.93,3.1,33,186,17.74,45,211,78.67,6,5,7.7,6.7,2422,8.6,2208,0.9,4
2019-2020,Buffalo Sabres,26.5,69,30,31,8,68,0.493,193,215,2,2,-0.34,-0.03,2.8,3.12,37,196,18.88,47,185,74.59,5,11,6.9,6.9,2021,9.5,2148,0.9,3
2019-2020,New Jersey Devils,26.9,69,28,29,12,68,0.493,185,224,4,6,-0.57,0.02,2.68,3.25,42,234,17.95,39,221,82.35,9,10,9.7,9.2,2117,8.7,2256,0.901,4
2019-2020,Anaheim Ducks,27.8,71,29,33,9,67,0.472,182,225,5,1,-0.53,0.02,2.56,3.17,27,184,14.67,49,213,77,10,5,10.2,8.5,2106,8.6,2282,0.901,1
2019-2020,Los Angeles Kings,28.6,70,29,35,6,64,0.457,177,209,1,3,-0.48,0.01,2.53,2.99,33,193,17.1,43,190,77.37,5,1,6.8,7.5,2325,7.6,2079,0.899,1
2019-2020,San Jose Sharks,29.5,70,29,36,5,63,0.45,180,225,2,1,-0.62,0.01,2.57,3.21,33,189,17.46,32,224,85.71,7,6,10.3,9.4,2101,8.6,2140,0.895,2
2019-2020,Ottawa Senators,27.7,71,25,34,12,62,0.437,190,238,1,5,-0.76,-0.02,2.68,3.35,30,211,14.22,55,230,76.09,15,6,9.6,9.2,2174,8.7,2384,0.9,0
2019-2020,Detroit Red Wings,28.6,71,17,49,5,39,0.275,142,265,3,2,-1.7,0.02,2,3.73,32,215,14.88,58,226,74.34,4,13,8.4,8.1,1924,7.4,2329,0.886,1